PARCEL,ABSTRPRD,BOOK,PAGE,RECNUM,SPRICE,DEDUCT,NETPRICE,SYEAR,SMONTH,SDAY,QUALIFIED,VERIFIED,STATUS,DISQLCD,TASP,PROPFLAG,TAXAREA,SCHDIST,CURRLND,CDISLND,IMCURRP,CURRTOT,SalesRatio,USETYPE
R0007357,1112.0,,,709056,430000,0,430000,2018,7,31,Q,Y,I,681.0,705200.0,Residential,13,RE-1 SCHOOL DIST,333324,333324,320991,654315,0.9278431650595576,RESIDENTIAL
R0023874,1112.0,,,709080,319900,0,319900,2018,7,20,U,Y,I,17.0,358288.0,Residential,62,RE-2 SCHOOL DIST,85757,85757,383706,469463,1.3102950698879114,RESIDENTIAL
R0056920,1112.0,,,748859,650000,0,650000,2022,3,16,Q,Y,I,,676000.0,Residential,62,RE-2 SCHOOL DIST,188708,188708,528210,716918,1.0605295857988166,RESIDENTIAL
R0016700,1112.0,,,748912,350000,0,350000,2022,3,23,U,Y,I,57.0,350000.0,Residential,37,RE-2 SCHOOL DIST,27849,27849,319479,347328,0.9923657142857143,RESIDENTIAL
R0010961,1112.0,,,709311,385000,0,385000,2018,8,3,Q,Y,I,,616000.0,Residential,29,RE-2 SCHOOL DIST,141936,141936,380731,522667,0.8484853896103897,RESIDENTIAL
R0016327,1112.0,,,709433,129400,0,129400,2018,8,14,U,Y,I,17.0,129400.0,Residential,37,RE-2 SCHOOL DIST,22221,22221,289928,312149,2.4122797527047912,RESIDENTIAL
R0053725,1112.0,,,709910,180000,0,180000,2018,5,11,U,Y,I,17.0,181260.0,Residential,31,RE-2 SCHOOL DIST,39476,39476,305861,345337,1.9052024715877744,RESIDENTIAL
R0024059,1112.0,,,709926,323500,0,323500,2018,8,31,Q,Y,I,681.0,517600.0,Residential,62,RE-2 SCHOOL DIST,59438,59438,449737,509175,0.9837229520865534,RESIDENTIAL
R0034267,1112.0,,,710238,350000,0,350000,2018,9,13,Q,Y,I,,556500.0,Residential,29,RE-2 SCHOOL DIST,33041,33041,494022,527063,0.9471033243486073,RESIDENTIAL
R0002234,1112.0,,,710297,460000,0,460000,2018,9,14,U,Y,I,64.0,460000.0,Residential,10,RE-1 SCHOOL DIST,290928,290928,272729,563657,1.225341304347826,RESIDENTIAL
R0054839,1112.0,,,710297,460000,0,460000,2018,9,14,U,Y,I,64.0,460000.0,Residential,13,RE-1 SCHOOL DIST,12444,12444,0,12444,0.02705217391304348,RESIDENTIAL
R0016857,1112.0,,,710327,1000000,0,1000000,2018,9,19,Q,Y,I,73.0,1620000.0,Residential,37,RE-2 SCHOOL DIST,318521,318521,839347,1157868,0.7147333333333333,RESIDENTIAL
R0017069,1112.0,,,745209,590000,0,590000,2021,11,22,Q,Y,I,,649000.0,Residential,31,RE-2 SCHOOL DIST,121303,121303,498753,620056,0.955402157164869,RESIDENTIAL
R0057348,1112.0,,,745541,351500,0,351500,2021,11,30,Q,Y,I,103.0,404225.0,Residential,40,RE-1 SCHOOL DIST,34392,34392,288368,322760,0.7984662007545302,RESIDENTIAL
R0006245,1112.0,,,745821,345000,0,345000,2021,12,6,Q,Y,I,68.0,372600.0,Residential,14,RE-1 SCHOOL DIST,55050,55050,331542,386592,1.0375523349436393,RESIDENTIAL
R0023445,1112.0,,,727927,465000,0,465000,2020,7,23,Q,Y,I,,664950.0,Residential,60,RE-2 SCHOOL DIST,135645,135645,506108,641753,0.9651146702759607,RESIDENTIAL
